82	82	82	82	82	82	82	94	107	120	120	120	132	120	132	132	132	120	120	120	120	132	120	120	
82	82	82	82	82	82	94	94	107	107	120	120	132	120	132	132	132	120	120	120	120	120	120	120	
82	70	70	82	82	82	82	94	107	120	120	120	120	120	132	132	120	120	120	107	107	120	107	107	
58	70	70	82	82	82	82	94	94	120	120	120	120	120	120	120	120	120	120	107	107	120	107	107	
58	58	58	70	70	70	70	82	94	94	107	94	94	94	94	120	107	107	107	107	107	107	94	94	
46	58	58	58	70	70	70	82	82	94	94	94	82	82	82	107	94	94	94	94	94	107	94	107	
46	58	58	58	58	58	58	70	70	82	82	82	70	58	70	70	82	82	94	94	94	107	94	94	
58	58	58	58	58	58	58	58	58	58	70	58	70	58	58	58	70	70	70	82	82	94	94	107	
58	58	46	46	46	46	46	46	34	34	34	46	46	46	46	46	58	58	70	82	82	94	94	94	
58	58	46	46	46	46	46	34	34	34	23	23	23	34	34	46	46	46	58	70	82	82	94	94	
58	58	58	46	46	46	46	34	23	23	23	23	23	23	34	34	34	46	46	58	70	82	82	82	
70	70	58	46	34	34	34	34	23	23	23	23	23	23	23	34	46	46	46	58	70	70	82	82	
70	70	58	46	34	34	23	23	11	23	11	23	23	23	34	34	34	46	46	58	70	70	82	82	
70	70	58	46	34	34	23	11	11	11	11	11	11	11	23	34	34	34	34	46	58	58	70	82	
70	70	58	46	34	23	11	11	11	11	11	11	11	23	23	23	34	34	34	46	46	58	70	82	
82	70	70	46	34	23	23	11	11	11	11	11	23	23	23	23	34	34	34	46	46	46	70	82	
82	82	70	58	46	34	11	11	11	11	11	11	23	23	23	23	34	34	34	46	46	58	70	82	
82	82	70	58	58	34	11	11	11	11	11	23	23	23	34	34	34	34	34	46	46	58	70	70	
82	70	70	58	46	23	11	11	11	11	11	23	23	23	34	34	34	34	34	46	46	58	58	70	
70	70	58	46	46	34	23	23	23	23	23	23	23	23	34	34	34	46	46	46	46	58	58	70	
82	82	70	58	70	46	34	34	34	34	34	34	34	34	34	34	46	46	46	46	46	46	58	58	
82	82	82	82	94	70	58	46	46	58	46	46	46	46	46	34	34	34	34	46	46	46	46	46	
94	94	94	94	94	82	70	58	58	58	46	46	46	46	46	34	34	34	34	34	34	34	34	34	
94	94	107	107	107	94	94	82	82	70	58	58	46	46	46	34	34	34	34	23	23	23	11	11	
