123	123	123	140	140	140	123	140	140	140	140	140	140	140	140	123	123	123	156	156	156	156	156	156	
123	123	123	123	123	123	123	140	140	140	140	123	123	140	140	123	123	123	156	156	156	140	140	140	
123	123	123	123	123	123	123	123	123	123	123	123	123	123	140	123	123	123	140	156	156	156	140	140	
123	123	123	123	123	107	123	123	123	123	123	107	107	123	123	107	123	107	140	140	140	140	140	140	
123	123	123	123	123	107	107	107	107	107	107	107	91	107	107	91	107	107	123	140	140	140	123	123	
123	107	107	107	107	107	107	107	91	91	91	91	91	91	91	91	91	91	123	123	123	123	123	123	
107	107	107	107	107	91	91	91	76	76	60	60	76	76	45	76	76	76	107	107	123	123	123	123	
107	107	107	107	91	91	91	76	60	45	30	30	15	30	15	30	45	45	76	91	107	107	107	107	
91	91	91	91	91	76	60	60	45	30	15	15	15	15	15	30	30	30	60	76	91	91	107	107	
91	91	91	76	60	60	60	45	30	15	15	15	15	15	15	15	15	30	60	60	76	91	91	107	
76	76	76	76	60	45	45	30	30	15	15	15	15	15	15	15	30	30	60	60	60	76	91	91	
76	76	76	76	60	45	45	30	30	15	0	0	0	0	0	15	30	30	60	60	76	76	91	91	
76	76	76	60	45	45	45	30	15	15	0	0	15	15	0	15	15	30	60	60	60	76	76	91	
76	76	76	60	45	45	45	30	15	15	15	15	15	15	0	15	15	30	45	60	60	76	76	76	
60	60	76	60	60	45	45	30	30	30	15	15	15	15	15	15	30	30	60	76	76	76	76	76	
60	60	60	60	45	45	45	45	30	30	15	15	15	15	15	30	30	30	60	76	76	76	91	76	
60	60	60	60	60	60	45	45	45	30	30	30	30	30	30	30	30	45	60	76	76	76	76	76	
60	60	60	60	60	60	45	45	45	45	30	30	30	30	30	30	45	45	60	76	76	76	76	76	
60	60	60	45	60	60	45	45	45	45	45	30	45	45	45	45	45	45	60	76	76	76	76	76	
45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	60	76	60	60	76	76	
45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	60	60	60	60	60	60	
45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	60	60	60	60	60	60	
45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	60	60	60	60	60	60	
45	45	45	45	45	45	45	45	45	45	45	45	45	45	45	30	45	30	45	45	45	60	60	60	
